Studio.AssetManager.NavBar.ID,,,ID: {gameId:int},ID: {gameId:int},المعرّف: {gameId:int},ID: {gameId:int},ID: {gameId:int},ID : {gameId:int},ID: {gameId:int},ID: {gameId:int},ID: {gameId:int},ID: {gameId:int},ID: {gameId:int},Identyfikator: {gameId:int},ID: {gameId:int},,ID: {gameId:int},Kimlik: {gameId:int},ID: {gameId:int},ID：{gameId:int},ID：{gameId:int},ID：{gameId:int}
Studio.AssetManager.Folders.IMAGES,,,Images,Images,الصور,Bilder,Imágenes,Images,तस्वीरें,Gambar,Immagini,画像,이미지,Obrazy,Imagens,,ภาพ,Görseller,Hình Ảnh,图片,图片,圖像
Studio.AssetManager.Folders.MESHES,,,Meshes,Meshes,أصول Mesh,Meshes,Mallas,Maillages,मेश,Mesh,Mesh,メッシュ,메시,Siatki,Malhas,,เมช,Mesh Yapıları,Mesh,网格,网格,網格
Studio.AssetManager.Folders.PACKAGES,,,Packages,Packages,الحِزَم,Pakete,Paquetes,Packs,पैकेज,Paket,Pacchetti,パッケージ,패키지,Pakiety,Pacotes,,แพ็คเกจ,Paketler,Gói,包,包,套件
Studio.AssetManager.Folders.PLACES,,,Places,Places,الأماكن,Orte,Lugares,Emplacements,प्लेस,Tempat,Località,プレース,플레이스,Miejsca,Locais,,สถานที่,Mekânlar,Địa Điểm,场景,场景,地點
Studio.AssetManager.Folders.SCRIPTS,,,Scripts,Scripts,النصوص البرمجية,Skripte,Scripts,Scripts,स्क्रिप्ट,Skrip,Script,スクリプト,스크립트,Skrypty,Scripts,,สคริปต์,Betikler,Kịch Bản,脚本,脚本,指令碼
Studio.AssetManager.AssetGrid.NoResults,,,No {assetType} Found,No {assetType} Found,لم يتم العثور على {assetType},Kein {assetType} gefunden,No hay {assetType},{assetType} non trouvé,कोई {assetType} नहीं मिला,Tidak Ada {assetType} Ditemukan,Nessun risultato per {assetType},{assetType} が見つかりません,{assetType}(을)를 찾을 수 없음,Nie znaleziono zasobu {assetType},Não há {assetType},,ไม่พบ {assetType},{assetType} bulunamadı,Không tìm thấy {assetType} nào,未找到 {assetType},未找到 {assetType},找不到{assetType}
Studio.AssetManager.ContextMenu.AddImages,,,Add Images,Add Images,إضافة صور,Bild hinzufügen,Añadir imágenes,Ajouter images,तस्वीरें जोड़ें,Tambahkan Gambar,Aggiungi immagini,画像を追加,이미지 추가,Dodaj obrazy,Adicionar imagens,,เพิ่มภาพ,Görsel ekle,Thêm Hình Ảnh,添加图片,添加图片,加入圖像
Studio.AssetManager.ContextMenu.AddMeshes,,,Add Meshes,Add Meshes,إضافة أصول Mesh,Meshes hinzufügen,Añadir mallas,Ajouter meshes,मेश जोड़ें,Tambahkan Mesh,Aggiungi mesh,メッシュを追加,메시 추가,Dodaj siatki,Adicionar malhas,,เพิ่มเมช,Mesh ekle,Thêm Mesh,添加网格,添加网格,加入網格
Studio.AssetManager.ContextMenu.AddNewPlace,,,Add New Place,Add New Place,إضافة مكان جديد,Neuen Ort hinzufügen,Añadir un nuevo lugar,Ajouter nouvel emplacement,नया प्लेस जोड़ें,Tambah Tempat Baru,Aggiungi nuova località,新しいプレースを追加,새 플레이스 추가,Dodaj nowe miejsce,Adicionar novo local,,เพิ่มสถานที่ใหม่,Yeni mekân ekle,Thêm Địa Điểm Mới,添加新场景,添加新场景,新增地點
Studio.AssetManager.ContextMenu.NewPlaceAdded,,,New Place Added,New Place Added,تمت إضافة مكان جديد,Neuer Ort hinzugefügt,Nuevo lugar añadido,Nouvel emplacement ajouté,नया प्लेस जोड़ा गया,Tempat Baru Ditambahkan,Nuova località aggiunta,新しいプレースを追加済み,새 플레이스가 추가됨,Dodano nowe miejsce,Novo local adicionado,,เพิ่มสถานที่ใหม่แล้ว,Yeni mekân eklendi,Địa Điểm Mới Đã Thêm,新场景已添加,新场景已添加,已加入新地點
Studio.AssetManager.ContextMenu.EditAsset,,,Edit Asset,Edit Asset,تحرير الأصل,Objekt bearbeiten,Editar recurso,Modifier asset,ऐसेट एडिट करें,Edit Aset,Modifica risorsa,アセットを編集,애셋 편집,Edytuj zasób,Editar ativo,,แก้ไขทรัพยากร,Varlığı düzenle,Chỉnh Sửa Tài Sản,编辑素材,编辑素材,編輯素材
Studio.AssetManager.ContextMenu.Rename,,,Rename,Rename,إعادة التسمية,Umbenennen,Renombrar,Renommer,नाम बदलें,Ubah Nama,Rinomina,名前を変更,이름 변경,Zmień nazwę,Renomear,,เปลี่ยนชื่อ,Yeniden adlandır,Đổi Tên,重命名,重命名,重新命名
Studio.AssetManager.ContextMenu.RenameAlias,,,Rename Alias,Rename Alias,إعادة تسمية الاسم المستعار,Alias umbenennen,Renombrar alias,Renommer alias,एलियस का नाम बदलें,Ubah Nama Alias,Rinomina alias,ニックネームを変更,닉네임 변경,Zmień nazwę aliasu,Renomear alcunha,,เปลี่ยนชื่อเล่น,Takma adı değiştir,Đổi Biệt Danh,重命名,重命名,重新命名別名
Studio.AssetManager.ContextMenu.CopyIdToClipboard,,,Copy ID to Clipboard,Copy ID to Clipboard,نسخ المُعرِّف إلى الحافظة,ID in die Zwischenablage kopieren,Copiar ID al portapapeles,Copier ID dans le clipboard,ID को क्लिपबोर्ड पर कॉपी करें,Salin ID ke Clipboard,Copia ID negli appunti,IDをクリップボードにコピー,ID를 클립보드로 복사,Skopiuj identyfikator do schowka,Copiar ID para a área de transferência,,คัดลอก ID ไปยังคลิปบอร์ด,Kimliği panoya kopyala,Sao Chép ID vào Bộ Nhớ Tạm,将 ID 复制到剪贴板,将 ID 复制到剪贴板,將 ID 複製到剪貼簿
Studio.AssetManager.ContextMenu.CopyTextureIdToClipboard,,,Copy Texture ID to Clipboard,Copy Texture ID to Clipboard,نسخ معرّف الهيئة إلى الحافظة,Textur-ID in die Zwischenablage kopieren,Copiar ID de la textura al portapapeles,Copier l'ID texture dans le clipboard,टेक्स्चर ID को क्लिपबोर्ड पर कॉपी करें,Salin ID Tekstur ke Clipboard,Copia l'ID della texture negli appunti,テクスチャのIDをクリップボードにコピー,텍스처 ID를 클립보드로 복사,Skopiuj identyfikator tekstury do schowka,Copiar ID da textura para a área de transferência,,คัดลอก ID พื้นผิวไปยังคลิปบอร์ด,Doku kimliğini panoya kopyala,Sao chép ID Kết Cấu vào Bộ Nhớ Tạm,将纹理 ID 复制到剪贴板,将纹理 ID 复制到剪贴板,將紋理 ID 複製到剪貼簿
Studio.AssetManager.ContextMenu.Insert,,,Insert,Insert,إدراج,Einfügen,Insertar,Insérer,डालें,Masukkan,Immetti,挿入,삽입,Wstaw,Inserir,,แทรก,Ekle,Chèn,插入,插入,插入
Studio.AssetManager.ContextMenu.InsertWithLocation,,,Insert With Location,Insert With Location,إدراج مع تحديد الموقع,Mit Ort einfügen,Insertar con ubicación,Insérer avec location,लोकेशन के साथ डालें,Masukkan dengan Lokasi,Immetti con luogo,位置をつけて挿入,위치 포함 삽입,Wstaw z lokalizacją,Inserir com localidade,,แทรกพร้อมตำแหน่ง,Konum ile ekle,Chèn Với Vị Trí,带位置插入,带位置插入,與位置一起插入
Studio.AssetManager.ContextMenu.InsertAsScript,,,Insert As Script,Insert As Script,إدراج كنص برمجي,Als Skript einfügen,Insertar como script,Insérer en tant que script,स्क्रिप्ट के रूप में डालें,Masukkan sebagai Skrip,Immetti come script,スクリプトとして挿入,스크립트로 삽입,Wstaw jako skrypt,Inserir como script,,แทรกเป็นสคริปต์,Betik olarak ekle,Chèn Dưới Dạng Kịch Bản,插入为脚本,插入为脚本,以指令碼插入
Studio.AssetManager.ContextMenu.InsertAsLocalScript,,,Insert As Local Script,Insert As Local Script,إدراج كنص برمجي محلي,Als lokales Skript einfügen,Insertar un script local,Insérer en tant que script local,लोकल स्क्रिप्ट के रूप में डालें,Masukkan sebagai Skrip Lokal,Immetti come script locale,ローカルスクリプトとして挿入,로컬 스크립트로 삽입,Wstaw jako skrypt lokalny,Inserir como script local,,แทรกเป็นสคริปต์ในเครื่อง,Yerel betik olarak ekle,Chèn Dưới Dạng Kịch Bản Cục Bộ,插入为本地脚本,插入为本地脚本,以本機指令碼插入
Studio.AssetManager.ContextMenu.InsertAsModuleScript,,,Insert As Module Script,Insert As Module Script,إدراج كنص برمجي للوحدة,Als Modulskript einfügen,Insertar como ModuleScript,Insérer comme module du script,मॉड्यूल स्क्रिप्ट के रूप में डालें,Masukkan sebagai Skrip Modul,Immetti come script di modulo,モジュールスクリプトとして挿入,모듈 스크립트로 삽입,Wstaw jako skrypt modułu,Inserir como script de módulo,,แทรกเป็นคริปต์โมดูล,Modül betiği olarak ekle,Chèn Dưới Dạng Kịch Bản Mô-đun,插入为模块脚本,插入为模块脚本,以模組指令碼插入
Studio.AssetManager.ContextMenu.RemoveFromGame,,,Remove From Game,Remove From Game,إزالة من اللعبة,Aus Spiel entfernen,Eliminar del juego,Retirer du jeu,गेम से हटाएँ,Hapus dari Game,Rimuovi dal gioco,ゲームから削除,게임에서 제거,Usuń z gry,Remover do jogo,,ลบจากเกม,Oyundan kaldır,Loại Bỏ Khỏi Trò Chơi,从游戏中移除,从游戏中移除,從遊戲中移除
Studio.AssetManager.ContextMenu.UpdateAll,,,Update All,Update All,تحديث الكل,Alle aktualisieren,Actualizar todos,Tout mettre à jour,सभी अपडेट करें,Update Semua,Aggiorna tutto,すべて更新,모두 업데이트,Zaktualizuj wszystko,Atualizar tudo,,อัปเดตทั้งหมด,Tümünü güncelle,Cập Nhật Tất Cả,全部更新,全部更新,全部更新
Studio.AssetManager.ContextMenu.ViewOnWebsite,,,View On Website,View On Website,عرض على الموقع الإلكتروني,Auf Website anzeigen,Ver en el sitio web,Visualiser sur le site web,वेबसाइट पर देखें,Lihat di Situs Web,Visualizza sul sito web,ウェブサイトで表示,웹사이트에서 보기,Wyświetl na stronie internetowej,Ver na página,,ดูในเว็บไซต์,Web sitesinde görüntüle,Xem Trên Trang Web,在网站上查看,在网站上查看,在網站上檢視
Studio.AssetManager.ContextMenu.PackageDetails,,,Package Details,Package Details,تفاصيل الحزمة,Paketdetails,Detalles del paquete,Détails du package,पैकेज की जानकारी,Detail Paket,Dettagli pacchetto,パッケージの詳細,패키지 세부 정보,Szczegóły pakietu,Detalhes do pacote,,รายละเอียดแพ็คเกจ,Paket Ayrıntıları,Chi Tiết Gói,包详情,包详情,套件詳細資料
Studio.AssetManager.ContextMenu.PublishLinkedSource,,,Publish this LinkedSource,Publish this LinkedSource,نشر LinkedSource هذا,Diese LinkedSource veröffentlichen,Publicar esta LinkedSource,Publier cette LinkedSource,इस LinkedSource को पब्लिश करें,Publikasikan LinkedSource ini,Pubblica questo LinkedSource,この LinkedSource を公開,이 LinkedSource 게시,Opublikuj ten element LinkedSource,Publicar esta LinkedSource,,เผยแพร่ LinkedSource นี้,LinkedSource'u yayınla,Đăng Nguồn Liên Kết này,发布此 LinkedSource,发布此 LinkedSource,發布此 LinkedSource
Studio.AssetManager.ContextMenu.RevertToLastPublishedVersion,,,Revert To Last Published Version,Revert To Last Published Version,العودة إلى آخر إصدار منشور,Zur letzten veröffentlichten Version zurücksetzen,Revertir a la última versión publicada,Retour à la dernière version publiée,पब्लिश किए गए पिछले वर्ज़न पर रिवर्ट करें,Kembalikan ke Versi yang Terakhir Dipublikasikan,Torna all'ultima versione pubblicata,最後に公開したバージョンに戻す,마지막 게시 버전으로 되돌리기,Przywróć do ostatniej opublikowanej wersji,Reverter para última versão publicada,,แปลงกลับเป็นเวอร์ชันที่เผยแพร่ล่าสุด,Yayınlanmış son sürüme dön,Quay Về Phiên Bản Đã Xuất Bản Cuối Cùng,还原至上次发布版本,还原至上次发布版本,還原到最後發布的版本
Studio.AssetManager.ContextMenu.RefreshScript,,,Refresh Script,Refresh Script,تحديث النص البرمجي,Skript aktualisieren,Actualizar script,Rafraîchir script,स्क्रिप्ट रीफ़्रेश करें,Refresh Skrip,Aggiorna script,スクリプトをリフレッシュ,스크립트 새로 고침,Odśwież skrypt,Atualizar script,,รีเฟรชสคริปต์,Betiği yenile,Làm Mới Kịch Bản,刷新脚本,刷新脚本,重新整理指令碼
Studio.AssetManager.AssetPreview.Insert,,,Insert,Insert,إدراج,Einfügen,Insertar,Insérer,डालें,Masukkan,Immetti,挿入,삽입,Wstaw,Inserir,,แทรก,Ekle,Chèn,插入,插入,插入
Studio.AssetManager.MainView.PublishText,,,You need to publish the game to start using Asset Manager.,You need to publish the game to start using Asset Manager.,تحتاج إلى نشر اللعبة لبدء استخدام مدير الأصول.,"Du musst das Spiel veröffentlichen, um den Asset Manager verwenden zu können.",Tienes que publicar el juego para usar el Gestor de recursos.,Tu dois publier le jeu pour commencer à utiliser le Gestionnaire de contenus.,ऐसेट मैनेजर का इस्तेमाल शुरू करने के लिए आपको गेम पब्लिश करना होगा.,Kamu harus memublikasikan game untuk mulai menggunakan Manajer Aset.,Pubblica il gioco per iniziare a usare il Gestore risorse.,アセット管理の使用を開始するにはゲームを公開する必要があります。,애셋 관리자를 사용하려면 게임을 게시해야 합니다.,"Aby zacząć korzystać z menedżera zasobów, musisz opublikować grę.",Você precisa publicar o jogo para começar a usar o Gerenciador de ativos.,,คุณต้องเผยแพร่เกมเพื่อเริ่มการใช้เครื่องมือจัดการทรัพยากร,Varlık Yöneticisi'ni kullanmaya başlamak için oyunu yayınlaman gerekir.,Bạn cần đăng trò chơi để bắt đầu sử dụng Trình Quản Lý Tài Sản.,发布游戏后即可使用素材管理器。,发布游戏后即可使用素材管理器。,若要使用素材管理器，請先發布遊戲。
Studio.AssetManager.MainView.ButtonText,,,Publish,Publish,نشر,Veröffentlichen,Publicar,Publier,पब्लिश करें,Publikasikan,Pubblica,公開,게시,Opublikuj,Publicar,,เผยแพร่,Yayınla,Đăng,发布,发布,發佈
Studio.AssetManager.ContextMenu.ViewPlaceHistory,,,View History,View History,عرض السجل,Verlauf anzeigen,Ver historial,Voir historique,हिस्ट्री देखें,Lihat Histori,Visualizza cronologia,履歴を表示,기록 보기,Wyświetl historię,Ver histórico,,ดูประวัติ,Geçmişi görüntüle,Xem Lịch Sử,查看历史记录,查看历史记录,檢視歷史紀錄
Studio.AssetManager.AssetGrid.LoadButton,,,Load All Pages,Load All Pages,تحميل كل الصفحات,Alle Seiten laden,Cargar todas las páginas,Charger toutes les pages,सभी पेज लोड करें,Load Semua Halaman,Carica tutte le pagine,すべてのページを読み込む,모든 페이지 불러오기,Wczytaj wszystkie strony,Carregar todas as páginas,,โหลดหน้าทั้งหมด,Tüm sayfaları yükle,Tải Tất Cả Các Trang,加载所有页面,加载所有页面,載入所有頁面
Studio.AssetManager.ContextMenu.OpenFolder,,,Open,Open,فتح,Öffnen,Abrir,Ouvert,खोलें,Buka,Apri,開く,열기,Otwórz,Abrir,,เปิด,Aç,Mở,打开,打开,開啟
Studio.AssetManager.RecentlyImportedView.Title,,,Recently Added,Recently Added,المُضافة مؤخرًا,Kürzlich hinzugefügt,Añadido recientemente,Ajouté récemment,हाल ही में जोड़ा गया,Baru Saja Ditambahkan,Aggiunti di recente,最近、追加されたもの,최근 추가된 항목,Ostatnio dodane,Adicionado recentemente,,หากมี ID แพ็คเกจ อยู่ อัปเดตแพ็คเกจโดยใช้ทรัพยากรที่นำเข้า,Son eklenenler,Mới Thêm,最近添加,最近添加,最近新增
Studio.AssetManager.Folders.AUDIO,,,Audio,Audio,الصوت,Audio,Audio,Audio,ऑडियो,Audio,Audio,オーディオ,오디오,Dźwięk,Áudio,,เสียง,Ses,Âm Thanh,音频,音频,音訊
Studio.AssetManager.ContextMenu.AddAudio,,,Add Audio,Add Audio,إضافة صوت,Audio hinzufügen,Añadir audio,Ajouter audio,ऑडियो जोड़ें,Tambahkan Audio,Aggiungi audio,オーディオを追加,오디오 추가,Dodaj dźwięk,Adicionar áudio,,เพิ่มเสียง,Ses ekle,Thêm Âm Thanh,添加音频,添加音频,新增音訊
Studio.AssetManager.ContextMenu.AssetPreview,,,Asset Preview,Asset Preview,معاينة الأصل,Objektvorschau,Vista previa del recurso,Aperçu des ressources,ऐसेट का प्रीव्यू,Preview Aset,Anteprima risorsa,アセットプレビュー,애셋 미리 보기,Podgląd zasobu,Visualização de ativo,,ดูตัวอย่างทรัพยากร,Varlık Ön İzlemesi,Xem Trước Tài Sản,素材预览,素材预览,素材預覽
Studio.AssetManager.TopBar.ExplorerOverlayButton,,,Explorer Overlay,Explorer Overlay,تراكب المتصفح,Explorer-Überlagerung,Superponer al explorador,Superposition de l'explorateur,एक्सप्लोरर ओवरले,Overlay Eksplorer,Overlay Esploratore,エクスプローラのオーバーレイ,탐색기 오버레이,Nakładka eksploratora,Sobrepor o explorador,,การซ้อนทับการสำรวจ,Gezgin Bindirmesi,Lớp Phủ Cửa Sổ Khám Phá,页面叠加,页面叠加,總管面板
Studio.AssetManager.TopBar.BackButton,,,Back,Back,رجوع,Zurück,Volver,Retour,वापस जाएँ,Kembali,Indietro,戻る,뒤로,Wstecz,Voltar,,กลับ,Geri,Quay Lại,返回,返回,返回
Studio.AssetManager.TopBar.ForwardButton,,,Forward,Forward,تقدم,Vorwärts,Avanzar,Faire suivre,आगे बढ़ें,Maju,Avanti,次へ,앞으로,Dalej,Avançar,,ไปข้างหน้า,İleri,Chuyển Tiếp,前进,前进,前進
Studio.AssetManager.TopBar.BulkImportButton,,,Bulk import,Bulk import,استيراد مجمّع,Massenimport,Importación masiva,Importation en nombre,बल्क इंपोर्ट,Impor Massal,Importazione bulk,バルクインポート,일괄 가져오기,Importowanie zbiorcze,Importar em massa,,นำเข้าจำนวนมาก,Toplu içe aktarım,Nhập Hàng Loạt,批量导入,批量导入,大量匯入
Studio.AssetManager.TopBar.ListViewButton,,,List View,List View,عرض القائمة,Listenansicht,Vista de la lista,Vue de la liste,लिस्ट व्यू,Tampilan Daftar,Visualizzazione elenco,リスト表示,목록 뷰,Widok listy,Visualizar lista,,มุมมองรายการม,Liste görünümü,Chế Độ Xem Dạng Danh Sách,列表视图,列表视图,清單檢視
Studio.AssetManager.TopBar.GridViewButton,,,Grid View,Grid View,عرض الشبكة,Rasteransicht,Vista de la cuadrícula,Vue de la grille,ग्रिड व्यू,Tampilan Kisi,Visualizzazione griglia,グリッド表示,그리드 뷰,Widok siatki,Visualizar grade,,มุมมองแบบกริด,Kılavuz görünümü,Chế Độ Xem Dạng Lưới,栅格视图,栅格视图,網格檢視
Studio.AssetManager.Callout.BadgesDevProductsDescription,,,Badges and Developer Products have moved to Monetization Page in Game Settings,Badges and Developer Products have moved to Monetization Page in Game Settings,"انتقلت الأوسمة ومنتجات المطوّر إلى صفحة ""التحويل إلى مصدر ربح"" في إعدادات اللعبة",Abzeichen und Entwicklerprodukte wurden auf die Monetarisierungsseite in den Spieleinstellungen verschoben,Los emblemas y productos de desarrollador se movieron a la página Monetización bajo Configuración del juego,Les badges et les produits pour développeurs ont été déplacés vers la page de monétisation dans les paramètres du jeu,"बैज और डेवलपर प्रॉडक्ट्स, गेम सेटिंग्स में मॉनेटाइज़ेशन पेज पर चले गए हैं",Lencana dan Produk Developer telah dipindahkan ke Halaman Monetisasi di Pengaturan Game,I contrassegni e i prodotti sviluppatore sono stati spostati nella pagina Monetizzazione delle impostazioni di gioco,バッジと開発者製品は、ゲーム設定にある収益化ページに移動しました,배지 및 개발자 제품이 '게임 설정'의 '수익 창출' 페이지로 이동했습니다.,Odznaki i produkty deweloperskie zostały przeniesione na stronę monetyzacji w ustawieniach gry,Emblemas e produtos do desenvolvedor foram movidos para a página Monetização nas Configurações do jogo,,เหรียญตราและผลิตภัณฑ์ผู้พัฒนาได้ย้ายไปยังหน้าการสร้างรายได้ในการตั้งค่าเกม,"Rozetler ve Geliştirici Ürünleri, Oyun Ayarları'ndaki Para Kazanma sayfasına taşındı",Huy Hiệu và Sản Phẩm của Nhà Phát Triển đã được chuyển đến Trang Kiếm Tiền trong Cài Đặt Trò Chơi,徽章和开发者产品已经转移到游戏设置的盈利页面,徽章和开发者产品已经转移到游戏设置的盈利页面,徽章和開發者產品已移到遊戲設定的營利頁面
Studio.AssetManager.MainView.SaveText,,,Save to start using Asset Manager.,Save to start using Asset Manager.,احفظ لبدء استخدام مدير الأصول.,"Speichern, um den Asset Manager zu verwenden.",Guarda para empezar a usar el Gestor de recursos.,Sauvegarder pour commencer à utiliser Asset Manager.,ऐसेट मैनेजर का इस्तेमाल शुरू करने के लिए सेव करें.,Simpan untuk mulai menggunakan Manajer Aset.,Salva per iniziare a usare il Gestore risorse.,アセット管理を使い始めるには保存する。,저장 후 애셋 관리자 사용을 시작할 수 있습니다.,"Zapisz, aby zacząć używać menedżera zasobów.",Salve para começar a usar o Gerenciador de ativos.,,บันทึกเพื่อเริ่มการใช้เครื่องมือจัดการทรัพยากร,Varlık Yöneticisi'ni kullanmaya başlamak için kaydet.,Lưu để bắt đầu sử dụng Trình Quản Lý Tài Sản.,保存后即可开始使用素材管理器,保存后即可开始使用素材管理器,儲存後即可開始使用素材管理員。
Studio.AssetManager.MainView.SaveButtonText,,,Save,Save,حفظ,Speichern,Guardar,Sauvegarder,सेव करें,Simpan,Salva,保存,저장,Zapisz,Salvar,,บันทึก,Kaydet,Lưu,保存,保存,儲存
Studio.AssetManager.Folders.MODELS,,,Models,Models,النماذج,Modelle,Modelos,Modèles,मॉडल्स,Model,Modelli,モデル,모델,Modele,Modelos,,โมเดล,Modeller,Mô Hình,模型,模型,模型
Studio.AssetManager.ContextMenu.CopyMeshIdToClipboard,,,Copy Mesh ID to Clipboard,Copy Mesh ID to Clipboard,نسخ مُعرِّف أصل Mesh إلى الحافظة,Mesh-ID in die Zwischenablage kopieren,Copiar ID de la malla al portapapeles,Copier ID de maillage vers le presse-papiers,मेश ID को क्लिपबोर्ड पर कॉपी करें,Salin ID Mesh ke Clipboard,Copia l'ID della mesh negli appunti,メッシュIDをクリップボードにコピー,메시 ID를 클립보드로 복사,Skopiuj identyfikator siatki do schowka,Copiar ID da malha para a área de transferência,,คัดลอก ID เมชไปยังคลิปบอร์ด,Mesh kimliğini panoya kopyala,Sao Chép ID Mesh vào Bộ Nhớ Tạm,将网格 ID 复制到剪贴板,将网格 ID 复制到剪贴板,將網格 ID 複製到剪貼簿
Studio.AssetManager.MainView.SaveToRobloxButtonText,,,Save to Roblox,Save to Roblox,حفظ في Roblox,Auf Roblox speichern,Guardar en Roblox,Sauvegarder sur Roblox,Roblox पर सेव करें,Simpan ke Roblox,Salva su Roblox,Robloxに保存,Roblox에 저장,Zapisz na platformie Roblox,Salvar na Roblox,,บันทึกไปยัง Roblox,Roblox'a kaydet,Lưu vào Roblox,保存至 Roblox,保存至 Roblox,儲存到 Roblox
Studio.AssetManager.Folders.VIDEO,,,Video,Video,الفيديو,Video,Video,Vidéo,वीडियो,Video,Video,ビデオ,비디오,Film,Vídeo,,วิดีโอ,Video,Video,视频,视频,影片
