Key,Context,Example,Source,de,en-us,es,es-es,fr,id,it,ja,ko,pt,pt-br,ru,th-th,zh-cn,zh-tw,zh-cjv,pl,vi,tr,ar
Feature.NativeAds.Description.InvalidAdPortalHierarchy,,,AdPortal doesn't have correct hierarchy,AdPortal hat keine korrekte Hierarchie,AdPortal doesn't have correct hierarchy,AdPortal no tiene una jerarquía correcta,AdPortal no tiene una jerarquía correcta,AdPortal n'a pas la bonne hiérarchie,AdPortal tidak memiliki hierarki yang benar,AdPortal non ha una gerarchia corretta,AdPortal に正しい階層が設定されていません,AdPortal에 올바른 계층 구조가 없습니다,O AdPortal não tem a hierarquia correta,O AdPortal não tem a hierarquia correta,AdPortal не имеет правильной иерархии,AdPortal ไม่มีลำดับชั้นที่ถูกต้อง,Adportal 没有正确的级别,廣告傳送門位階不正確,Adportal 没有正确的级别,AdPortal nie ma prawidłowej hierarchii,Phân cấp của AdPortal không chính xác,AdPortal'ın hiyerarşisi doğru değil,AdPortal ليس لديه تسلسل هرمي صحيح
Feature.NativeAds.Description.InvalidAdPortalParentProperties,,,AdPortal parent part doesn't have correct properties set,AdPortal übergeordnetes Teil hat nicht korrekt festgelegte Eigenschaften,AdPortal parent part doesn't have correct properties set,La parte padre de AdPortal no tiene las propiedades correctas configuradas,La parte padre de AdPortal no tiene las propiedades correctas configuradas,Les propriétés de la partie parent d'AdPortal sont incorrectes,Bagian orang tua AdPortal tidak memiliki properti yang benar,La parte parent di AdPortal non ha impostato le proprietà correttamente,AdPortal の親パーツに正しいプロパティが設定されていません,AdPortal 부모 파트에 올바른 속성이 설정되어 있지 않습니다,A parte pai do AdPortal não tem propriedades corretamente definidas,A parte pai do AdPortal não tem propriedades corretamente definidas,У родительской части AdPortal не установлены правильные свойства,ส่วนประกอบ Parent ของ AdPortal ไม่มีชุดคุณสมบัติที่ถูกต้อง,Adportal 父项没有正确的属性集,廣告傳送門的父零件未設定正確屬性,Adportal 父项没有正确的属性集,Element nadrzędny elementu AdPortal nie ma ustawionych prawidłowych właściwości,Bộ thuộc tính của thành phần phần tử cấp trên trong AdPortal không chính xác,AdPortal parent part için doğru özellikler ayarlanmamış,الجزء الرئيسي من AdPortal لا يحتوي على خصائص صحيحة
Feature.NativeAds.Description.InvalidAdPortalParentType,,,Parent Type is not valid,Übergeordneter Typ ist ungültig,Parent Type is not valid,El Tipo de padre no es válido,El Tipo de padre no es válido,Le type parent n'est pas valide,Tipe orang tua tidak valid,Il tipo parent non è valido,親タイプが無効です,부모 유형이 유효하지 않습니다,O tipo de pai não é válido,O tipo de pai não é válido,Parent Type недействителен,ประเภท Parent ไม่ถูกต้อง,父项无效,父類型無效,父项无效,Typ elementu nadrzędnego jest nieprawidłowy,Loại Phần Tử Cấp Trên không hợp lệ,Parent Type geçersiz,نوع الأصل غير صالح
Feature.NativeAds.Description.InvalidAdPortalProperties,,,AdPortal doesn't have correct properties set,AdPortal hat nicht korrekt festgelegte Eigenschaften,AdPortal doesn't have correct properties set,AdPortal no tiene las propiedades correctas configuradas,AdPortal no tiene las propiedades correctas configuradas,AdPortal ne possède pas de propriétés correctes,AdPortal tidak memiliki properti yang benar,AdPortal non ha impostato le proprietà corrette,AdPortal に正しいプロパティが設定されていません,AdPortal에 올바른 속성이 설정되어 있지 않습니다,O AdPortal não tem propriedades corretamente definidas,O AdPortal não tem propriedades corretamente definidas,AdPortal не имеет правильного набора свойств,AdPortal ไม่มีชุดคุณสมบัติที่ถูกต้อง,Adportal 没有正确的属性集,廣告傳送門未設定正確屬性,Adportal 没有正确的属性集,AdPortal nie ma ustawionych prawidłowych właściwości,Bộ thuộc tính của AdPortal không chính xác,AdPortal'da doğru özellikler ayarlanmamış,AdPortal ليس لديه خصائص صحيحة
Feature.NativeAds.Label.Ad,,,Ad,Anzeige,Ad,Anuncio,Anuncio,Annonce,Iklan,Ad,広告,광고,Publicidade,Publicidade,Реклама,โฆษณา,广告,廣告,广告,Reklama,Quảng Cáo,Reklam,إعلان
Feature.NativeAds.Label.Sponsored,,,Sponsored,Gesponsert,Sponsored,Patrocinados,Patrocinados,Sponsorisé,Bersponsor,Sponsorizzato,スポンサー広告,스폰서,Patrocinados,Patrocinados,Спонсируемые,ได้รับการสนับสนุน,赞助,贊助,赞助,Sponsorowane,Được Tài Trợ,Sponsorlu,دعائي
Feature.Subscription.Error.GenericSubscribeError,,,Something went wrong while trying to subscribe. Please try again later.,Beim Abonnieren ist etwas schiefgelaufen. Bitte versuche es später erneut.,Something went wrong while trying to subscribe. Please try again later.,Algo salió mal mientras intentabas suscribirte. Vuelve a intentarlo más tarde.,Algo salió mal mientras intentabas suscribirte. Vuelve a intentarlo más tarde.,Une erreur s'est produite lors de la tentative d'abonnement. Réessayer plus tard.,Terjadi masalah saat subscribe. Coba lagi nanti.,Qualcosa è andato storto durante la sottoscrizione. Riprova più tardi.,定期購入（購読）手続き中に問題が発生しました。また後でお試しください。,구독을 처리하는 중에 문제가 발생했습니다. 나중에 다시 시도하세요.,Algo deu errado ao tentar assinar. Tente novamente mais tarde.,Algo deu errado ao tentar assinar. Tente novamente mais tarde.,Что-то пошло не так при попытке подписаться. Повтори попытку позже.,มีปัญหาบางอย่างเกิดขึ้นในระหว่างทำการสมัครสมาชิก โปรดลองอีกครั้งในภายหลัง,,嘗試訂閱時發生錯誤。請稍後再試一次。,,Coś poszło nie tak przy próbie wykupienia subskrypcji. Spróbuj ponownie później.,Đã xảy ra sự cố trong quá trình thử đăng ký. Vui lòng thử lại sau.,Abone olmaya çalışırken bir şeyler ters gitti. Lütfen daha sonra tekrar dene.,حدث خطأ ما خلال محاولة الاشتراك. يرجى المحاولة مرة أخرى لاحقًا.
Feature.Subscription.Message.MonthlySpendRestrictionsMonthlyLimitExceed,,,You have reached the monthly purchasing limit set in Parental Controls. You will not be able to make a new purchase until next month.,Du hast das in der Kindersicherung festgelegte monatliche Kauflimit erreicht. Du kannst erst im nächsten Monat einen neuen Kauf tätigen.,You have reached the monthly purchasing limit set in Parental Controls. You will not be able to make a new purchase until next month.,Alcanzaste el límite de compra mensual establecido en Controles parentales. No podrás realizar una nueva compra hasta el próximo mes.,Alcanzaste el límite de compra mensual establecido en Controles parentales. No podrás realizar una nueva compra hasta el próximo mes.,Tu as atteint la limite d'achat mensuelle définie dans les Contrôles Parentaux. Tu ne peux pas effectuer de nouvel achat avant le mois prochain.,Kamu telah mencapai batas pembelian bulanan yang ditetapkan di Kendali Orang Tua. Kamu tidak akan dapat melakukan pembelian baru hingga bulan depan.,Hai raggiunto il limite di acquisto mensile impostato nel controllo genitoriale. Non potrai effettuare un nuovo acquisto fino al prossimo mese.,保護者コントロールで設定された月間購入限度額に達しました。来月まで新しく購入することはできません。,자녀 보호 기능으로 설정된 월별 구매 한도에 도달했습니다. 다음 달까지 신규 구매가 불가합니다.,Você atingiu o limite de compras mensal definido no Controle dos responsáveis. Você não poderá fazer uma nova compra até o próximo mês.,Você atingiu o limite de compras mensal definido no Controle dos responsáveis. Você não poderá fazer uma nova compra até o próximo mês.,"Достигнут месячный лимит на покупку, установленный в родительском контроле. Ты не сможешь совершить новую покупку до следующего месяца.",คุณทำการซื้อถึงขีดจำกัดที่ตั้งไว้ในการควบคุมโดยผู้ปกครองแล้ว คุณจะไม่สามารถทำการซื้อใหม่ได้จนกว่าจะถึงเดือนหน้า,你已达到家长控制中设置的每月购买限额。在下个月之前，你将无法进行新的购买。,您已達到家長監護中設定的每月消費限制。您需等到下個月才能進行新的購買。,你已达到家长控制中设置的每月购买限额。在下个月之前，你将无法进行新的购买。,Osiągnięto miesięczny limit zakupów skonfigurowany w ustawieniach kontroli rodzicielskiej. Nowego zakupu będzie można dokonać w dopiero w przyszłym miesiącu.,Bạn đã đạt giới hạn mua hàng tháng được thiết lập trong Giám sát của cha mẹ. Bạn sẽ không thể thực hiện giao dịch mua mới cho đến tháng tiếp theo.,Ebeveyn Denetimlerinde belirlenmiş olan aylık satın alım sınırına ulaştın. Gelecek aya kadar yeni bir satın alım işlemi yapamayacaksın.,لقد وصلت إلى حد الشراء الشهري المحدد في أدوات رقابة الوالدين. لن تتمكن من إجراء عملية شراء جديدة حتى الشهر المقبل.
Feature.Subscription.Text.DisclaimerMonthly,,,Renews monthly. Cancel anytime.,Monatlich verlängert. Jederzeit kündbar.,Renews monthly. Cancel anytime.,Se renueva mensualmente. Cancela en cualquier momento.,Se renueva mensualmente. Cancela en cualquier momento.,Renouvelle mensuellement. Annuler à tout moment.,Diperpanjang setiap bulan. Batalkan kapan saja.,Rinnova mensilmente. Annulla in qualsiasi momento.,毎月更新。いつでもキャンセル可。,매월 갱신됩니다. 언제든지 취소할 수 있습니다.,Renova mensalmente. Cancele a qualquer momento.,Renova mensalmente. Cancele a qualquer momento.,Обновляется ежемесячно. Можно отменить в любое время.,ต่ออายุรายเดือน ยกเลิกได้ตลอดเวลา,每月续费。可随时取消。,每月續訂，可隨時取消。,每月续费。可随时取消。,Odnowienie co miesiąc. Możliwość anulowania w dowolnym momencie.,Gia hạn hàng tháng. Hủy bỏ bất cứ lúc nào.,Aylık olarak yenilenir. İstediğin zaman iptal edebilirsin.,يتجدد شهريًا. إلغاء في أي وقت.
Feature.Subscription.Text.DisclaimerTextMonthly,,,Renews monthly. Cancel anytime.,Monatlich verlängert. Jederzeit kündbar.,Renews monthly. Cancel anytime.,Se renueva mensualmente. Cancela en cualquier momento.,Se renueva mensualmente. Cancela en cualquier momento.,Renouvelle mensuellement. Annuler à tout moment.,Diperpanjang setiap bulan. Batalkan kapan saja.,Rinnova mensilmente. Annulla in qualsiasi momento.,毎月更新。いつでもキャンセル可。,매월 갱신됩니다. 언제든지 취소할 수 있습니다.,Renova mensalmente. Cancele a qualquer momento.,Renova mensalmente. Cancele a qualquer momento.,Обновляется ежемесячно. Можно отменить в любое время.,ต่ออายุรายเดือน ยกเลิกได้ตลอดเวลา,每月续费。可随时取消。,每月續訂，可隨時取消。,每月续费。可随时取消。,Odnowienie co miesiąc. Możliwość anulowania w dowolnym momencie.,Gia hạn hàng tháng. Hủy bỏ bất cứ lúc nào.,Aylık olarak yenilenir. İstediğin zaman iptal edebilirsin.,يتجدد شهريًا. إلغاء في أي وقت.
Feature.Subscription.Text.PerMonth,,,/month,/Monat,/month,al mes,al mes,/mois,/bulan,/mese,（月額）,/월,/mês,/mês,в месяц,/เดือน,/月,/ 月,/月,/miesiąc,/tháng,/aylık,/ شهر
Feature.Subscription.Text.Subscribed,,,Subscribed,Abonniert,Subscribed,Suscrito,Suscrito,Abonné,Subscribe berhasil,Abbonati,定期購入/購読済み,구독 완료,Assinante,Assinante,Есть подписка,สมัครแล้ว,已订阅,已訂閱,已订阅,Subskrybujesz,Đã đăng ký,Abone olundu,مشترك
Features.OnDemandAds.Reward_Notification,,,Congratulations! You've earned {REWARD_NAME}!,Herzlichen Glückwunsch! Du hast dir Folgendes verdient: {REWARD_NAME}!,Congratulations! You've earned {REWARD_NAME}!,¡Enhorabuena! Ganaste: {REWARD_NAME}.,¡Enhorabuena! Ganaste: {REWARD_NAME}.,Félicitations ! Tu as gagné {REWARD_NAME}!,"Selamat, kamu mendapat {REWARD_NAME}!",Complimenti! Hai ottenuto un premio: {REWARD_NAME}!,おめでとうございます！ {REWARD_NAME} を獲得しました！,축하드려요! {REWARD_NAME}을(를) 획득하셨어요!,Parabéns! Você ganhou {REWARD_NAME}!,Parabéns! Você ganhou {REWARD_NAME}!,Поздравляем! Заработано: {REWARD_NAME}!,ยินดีด้วย! คุณได้รับ {REWARD_NAME} แล้ว!,恭喜！你获得了{REWARD_NAME}！,恭喜！您獲得了{REWARD_NAME}！,恭喜！你获得了{REWARD_NAME}！,Gratulacje! Zdobywasz nagrodę: {REWARD_NAME}.,Chúc mừng! Bạn đã nhận được {REWARD_NAME}!,Tebrikler! Bir {REWARD_NAME} kazandın!,تهانينا! لقد ربحت {REWARD_NAME}!
InGame.ConnectionError.Action.Restart,,,Restart,Neu starten,Restart,Reiniciar,Reiniciar,Redémarrer,Mulai Ulang,Ripartire,再起動,다시 시작,Reiniciar,Reiniciar,Перезапустить,รีสตาร์ท,重启,重新啟動,重启,Uruchom ponownie,Khởi động lại,Yeniden Başlat,إعادة تشغيل
InGame.ConnectionError.Button.Reconnect,,,Reconnect,Erneut verbinden,Reconnect,Reconectar,Reconectar,Reconnexion,Hubungkan Kembali,Riconnetti,再接続,재연결,Reconectar,Reconectar,Повторное соединение,เชื่อมต่ออีกครั้ง,重新连接,重新連線,重新连接,Połącz ponownie,Kết Nối Lại,Yeniden Bağlan,إعادة الاتصال
InGame.ConnectionError.DisconnectBadhash,,,Lost connection due to an error.,Die Verbindung ist aufgrund eines Fehlers abgebrochen.,Lost connection due to an error.,Se perdió la conexión debido a un error.,Se perdió la conexión debido a un error.,Connexion perdue suite à une erreur.,Koneksi terputus karena terjadi eror.,Connessione persa a causa di un errore.,エラーにより接続が切断されました。,오류로 인해 접속이 끊김,Conexão perdida devido a um erro.,Conexão perdida devido a um erro.,Из-за ошибки пропало соединение.,สูญเสียการเชื่อมต่อเนื่องจากข้อผิดพลาด,由于某项错误，连接被中断。,發生錯誤，連線中斷。,由于某项错误，连接被中断。,Utracono połączenie z powodu błędu.,Mất kết nối do lỗi.,Bir hata nedeniyle bağlantı kesildi.,انقطع الاتصال بسبب خطأ ما.
InGame.ConnectionError.DisconnectCloudEditKick,,,Lost connection to Team Create. Please reconnect. ,Verbindung zu Team Create verloren. Bitte wieder verbinden. ,Lost connection to Team Create. Please reconnect. ,Se perdió la conexión a Creación en equipo. Vuelve a conectarte. ,Se perdió la conexión a Creación en equipo. Vuelve a conectarte. ,Connexion perdue lors de la création d'équipe. Reconnecte-toi. ,Koneksi ke Tim Kreasi terputus. Hubungkan kembali. ,Connessione persa con la creazione della squadra. È necessario riconnettersi. ,チーム制作機能への接続が切断されました。再接続してください。 ,팀 만들기 중 접속이 끊어졌습니다. 다시 접속하세요.,Conexão perdida com a Criação em equipe. Reconecte-se. ,Conexão perdida com a Criação em equipe. Reconecte-se. ,Потеряно соединение с командой создателей. Установи соединение заново. ,สูญเสียการเชื่อมต่อกับการสร้างร่วมกับเพื่อน โปรดเชื่อมต่ออีกครั้ง ,与团队创作（Team Create）建立的连接被中断。请重新连接。,中斷與團隊創作的連線，請重新連線。,与团队创作（Team Create）建立的连接被中断。请重新连接。,Utracono połączenie z narzędziem Team Create. Połącz się ponownie. ,Mất kết nối với Team Create. Vui lòng kết nối lại. ,Team Create ile bağlantı kesildi. Lütfen yeniden bağlan. ,انقطع الاتصال بميزة إنشاء الفريق. الرجاء إعادة الاتصال. 
InGame.ConnectionError.DisconnectConnectionLost,,,Please check your internet connection and try again.,Bitte überprüfe deine Internetverbindung und versuche es erneut.,Please check your internet connection and try again.,Comprueba tu conexión a internet e inténtelo de nuevo.,Comprueba tu conexión a internet e inténtelo de nuevo.,Vérifie ta connexion internet et réessaye.,Periksa koneksi internet lalu coba lagi.,Controlla la tua connessione a Internet e riprova.,インターネット接続をチェックしてやり直してください。,인터넷 연결을 확인하고 다시 시도하세요.,Verifique sua conexão de internet e tente novamente.,Verifique sua conexão de internet e tente novamente.,Проверь подключение к интернету и повтори попытку.,โปรดตรวจสอบการเชื่อมต่ออินเทอร์เน็ตของคุณแล้วลองอีกครั้ง,请检查你的网络连接并重试。,請檢查網路連線再重新嘗試。,请检查你的网络连接并重试。,Sprawdź połączenie z Internetem i spróbuj ponownie.,Vui lòng kiểm tra kết nối Internet và thử lại.,İnternet bağlantını kontrol edip tekrar dene.,الرجاء التحقق من اتصالك بالإنترنت وحاول مرة أخرى.
InGame.ConnectionError.DisconnectDevMaintenance,,,The experience's developer has temporarily shut down the experience server.  Please try again.,Der Entwickler der Experience hat den Experience-Server vorübergehend heruntergefahren. Bitte versuche es erneut.,The experience's developer has temporarily shut down the experience server.  Please try again.,El desarrollador cerró temporalmente el servidor de la experiencia. Inténtalo de nuevo.,El desarrollador cerró temporalmente el servidor de la experiencia. Inténtalo de nuevo.,Le développeur de l'expérience a temporairement fermé le serveur de l'expérience.  Réessayer.,Developer pengalaman virtual telah mematikan server pengalaman virtual untuk sementara. Coba lagi.,Lo sviluppatore dell 'esperienza ha temporaneamente chiuso il server di gioco. Riprova più tardi.,仮想空間の開発者が一時的にこのバーチャル空間サーバーをシャットダウンしました。もう一度お試しください。,이 체험의 개발자들이 체험 서버를 일시적으로 강제 종료하였습니다. 다시 시도하세요.,O desenvolvedor da experiência desligou o servidor temporariamente. Tente novamente.,O desenvolvedor da experiência desligou o servidor temporariamente. Tente novamente.,Разработчик временно отключил сервер. Повтори попытку.,นักพัฒนาประสบการณ์นี้ได้ปิดการทำงานของเซิร์ฟเวอร์ประสบการณ์ชั่วคราว โปรดลองอีกครั้ง,开发者已暂时关闭服务器。请重试。,體驗開發人員已暫時關閉體驗伺服器，請重新嘗試。,开发者已暂时关闭服务器。请重试。,Deweloper projektu tymczasowo zamknął jego serwer. Spróbuj ponownie.,Nhà phát triển trải nghiệm đã tạm thời tắt máy chủ của trải nghiệm này. Vui lòng thử lại.,"Deneyimin geliştiricisi, deneyimin sunucusunu geçici olarak kapattı. Lütfen tekrar dene.",أغلق المطور خادم التجربة مؤقتًا. الرجاء المحاولة مرة أخرى.
InGame.ConnectionError.DisconnectDuplicatePlayer,,,Same account launched experience from different device. Leave the experience on the other device and try again.,Diese Experience wurde mit demselben Konto auf einem anderen Gerät gestartet. Verlasse die Experience auf dem anderen Gerät und versuche es erneut.,Same account launched experience from different device. Leave the experience on the other device and try again.,La misma cuenta lanzó la experiencia desde un dispositivo diferente. Sal de la experiencia en el otro dispositivo y vuelve a intentarlo.,La misma cuenta lanzó la experiencia desde un dispositivo diferente. Sal de la experiencia en el otro dispositivo y vuelve a intentarlo.,Le même compte a lancé l'expérience depuis un autre appareil. Quitter l'expérience sur l'autre appareil et réessaie.,Akun yang sama telah meluncurkan pengalaman virtual yang sama dari perangkat yang berbeda. Keluar dari pengalaman virtual tersebut di perangkat lain lalu coba lagi.,Lo stesso account ha lanciato l'esperienza da un dispositivo diverso. Lascia l'esperienza sull'altro dispositivo e riprova.,同じアカウントが別のデバイスでバーチャル空間を起動しました。他のデバイスを終了してもう一度お試しください。,다른 기기에서 동일 계정으로 체험에 접속되어 있습니다. 다른 기기에서 체험을 종료하고 다시 시도하세요.,A mesma conta lançou a experiência de um dispositivo diferente. Deixe a experiência no outro dispositivo e tente novamente.,A mesma conta lançou a experiência de um dispositivo diferente. Deixe a experiência no outro dispositivo e tente novamente.,Один и тот же аккаунт же запустил плейс с другого устройства. Оставь плейс на другом устройстве и повтори попытку.,บัญชีเดียวกันนี้เปิดใช้ประสบการณ์อยู่บนอุปกรณ์อื่นแล้ว ออกจากประสบการณ์ในอีกอุปกรณ์แล้วลองอีกครั้ง,同一个帐户从另一台设备启动了体验。请在另一台设备上离开体验并重试。,此帳號已從其他裝置開啟此體驗。請退出另一部裝置上的體驗後再重新嘗試。,同一个帐户从另一台设备启动了体验。请在另一台设备上离开体验并重试。,Projekt został uruchomiony na tym samym koncie na różnych urządzeniach. Opuść projekt na innym urządzeniu i spróbuj ponownie.,Trải nghiệm được khởi chạy trên thiết bị khác bởi cùng một tài khoản. Rời khỏi trải nghiệm trên thiết bị khác và thử lại.,"Aynı hesap, deneyimi farklı cihazlardan başlattı. Diğer cihazda deneyimden ayrıl ve tekrar dene.",تم الدخول إلى هذه التجربة من جهاز آخر بالحساب نفسه. غادر التجربة من ذلك الجهاز قم حاول مجددًا.
