Key,Source,en-us,ko,ru,zh-cn
Studio.PluginInstallation.Moved.GotIt,Got it,Got it,확인,Ясно,了解
Studio.PluginInstallation.Toolbar.ManageButtonTitle,Manage Plugins,Manage Plugins,플러그인 관리,Управление плагинами,管理插件
Studio.PluginInstallation.Toolbar.ManageButtonDescription,Manage plugins installed from roblox.com,Manage plugins installed from roblox.com,roblox.com에서 설치한 플러그인 관리,Управление установленными плагинами с сайта roblox.com,管理从 roblox.com 安装的插件
Studio.PluginInstallation.Loading.Title,Updating Plugins,Updating Plugins,플러그인 업데이트,Обновляются плагины,正在更新插件
Studio.PluginInstallation.Main.Title,Plugins,Plugins,플러그인,Плагины,插件
Studio.PluginInstallation.Main.UpdateAllButton,Update all,Update all,모두 업데이트,Обновить все,全部更新
Studio.PluginInstallation.Main.NoPluginsMessage,You haven’t installed any plugins yet.,You haven’t installed any plugins yet.,아직 아무 플러그인도 설치하지 않았습니다.,Ни один плагин пока не установлен.,你尚未安装任何插件。
Studio.PluginInstallation.Main.FindPluginsMessage_Old,Find plugins now,Find plugins now,지금 플러그인 찾기,Найти плагины,立即查找插件
Studio.PluginInstallation.Main.FindPluginsMessage,"To find more plugins, open Toolbox > Marketplace > Plugins.","To find more plugins, open Toolbox > Marketplace > Plugins.",더 많은 플러그인을 찾으려면 도구 상자 > 마켓플레이스 > 플러그인을 여세요.,Для поиска плагинов откройте раздел «Панель инструментов» > «Магазин» > «Плагины».,要查找更多插件，请打开“工具箱 > 商店 > 插件”。
Studio.PluginInstallation.Entry.UpdateButton,Update,Update,업데이트,Обновить,更新
Studio.PluginInstallation.Entry.LastUpdatedDate,Updated: {date:shortdate},Updated: {date:shortdate},업데이트됨: {date:shortdate},Обновлено: {date:shortdate},更新日期：{date:shortdate}
Studio.PluginInstallation.Entry.UpdateError,Error. Try updating again.,Error. Try updating again.,오류. 업데이트를 다시 시도하세요.,Ошибка. Повторите обновление позже.,发生错误。请尝试再次更新。
Studio.PluginInstallation.Entry.UpdateSuccess,Update complete!,Update complete!,업데이트 완료!,Обновление завершено!,更新完成！
Studio.PluginInstallation.EntrySeeMore.RemoveButton,Uninstall,Uninstall,제거,Удалить,卸载
Studio.PluginInstallation.Entry.ModeratedWarning,This plugin includes malicious content and can’t be run anymore.,This plugin includes malicious content and can’t be run anymore.,이 플러그인에는 악성 콘텐츠가 들어 있어 더 이상 실행할 수 없습니다.,Этот плагин содержит вредоносный контент и больше не может быть запущен.,此插件包含恶意内容，无法继续使用。
Studio.PluginInstallation.EntrySeeMore.DetailsButton,Details,Details,세부 정보,Подробнее,详情
Studio.PluginInstallation.Header.PendingUpdates,Pending updates,Pending updates,업데이트 보류 중,Ожидающие обновления,待更新
Studio.PluginInstallation.Moved.NewLocationMessage,Get plugins from Marketplace under Toolbox.,Get plugins from Marketplace under Toolbox.,도구 상자 아래의 마켓플레이스에서 플러그인을 받으세요.,Плагины находятся в разделе «Панель инструментов» > «Магазин».,请到“工具箱”下的“商店”中获取插件。
Studio.PluginInstallation.Header.UpToDate,Up to date,Up to date,최신 상태,Обновлено,最新版本
Studio.PluginInstallation.Moved.Title,Roblox Studio,Roblox Studio,Roblox Studio,Roblox Studio,Roblox Studio
Studio.PluginInstallation.Moved.MovedMessage,We've moved.,We've moved.,이동시켰습니다.,Мы переехали.,我们已经搬移。
Studio.PluginInstallation.Details.HttpRequests,HTTP Requests,HTTP Requests,HTTP 요청,HTTP-запросы,HTTP 请求
Studio.PluginInstallation.PluginEntry.HttpRequest,HTTP Requests,HTTP Requests,HTTP 요청, ,HTTP 请求
Studio.PluginInstallation.Details.Description,Description,Description,설명,Описание,描述
Studio.PluginInstallation.PluginEntry.ScriptInjectionAllowed,Script Injection Allowed,Script Injection Allowed,스크립트 삽입이 허용됨, ,已允许脚本注入
Studio.PluginInstallation.Details.ScriptInjectionInfo,"By allowing Script Injection, this plugin may insert or modify scripts that perform malicious actions anywhere in your game (scripts can pretty much do anything). Disabling Script Injection might result in a non-working plugin.","By allowing Script Injection, this plugin may insert or modify scripts that perform malicious actions anywhere in your game (scripts can pretty much do anything). Disabling Script Injection might result in a non-working plugin.","스크립트 삽입을 허용하면, 플러그인은 스크립트를 삽입하거나 수정하여 게임 내 곳곳에서 악의적인 작업을 수행할 수 있습니다(스크립트는 거의 모든 작업을 수행할 수 있음). 스크립트 삽입을 비활성화하면 플러그인이 작동하지 않을 수 있습니다.", ,若允许脚本注入，此插件可能会通过注入或修改脚本在游戏中的任何地方进行恶意操作（脚本几乎是万能的）。禁用脚本注入则可能会使插件无法生效。
Studio.PluginInstallation.Main.FindPluginsWithButtonMessage,"To find more plugins, open Marketplace by clicking the '+' button.","To find more plugins, open Marketplace by clicking the '+' button.",더 많은 플러그인을 찾으려면 '+' 버튼을 클릭하여 마켓플레이스를 엽니다., ,要寻找更多插件，请点击 '+' 按钮打开商城。
Studio.PluginInstallation.PluginEntry.ScriptInjectionDenied,Script Injection Denied,Script Injection Denied,스크립트 삽입이 거부됨, ,已拒绝脚本注入
Studio.PluginInstallation.PluginEntry.NoPermissionsRequested,No Permissions Requested,No Permissions Requested,요청된 권한 없음, ,未请求权限
